 ,收礼人uid            ,收礼人名字                             ,收礼总金额,送礼人uid            ,送礼人名字
0,5066549353802410	 ,MickyQP                           ,13789,5066549353802410	 ,MickyQP
1,7599824373925708	 ,🎌ホオジロザメ🎌🦈                      ,77452,2814749773472536	 ,🌸🌺younagi🇯🇵🌺🌸
2,1688849866096523	 ,♥️❣️Jenjen66❣️♥️                  ,13026,10414574145289576	,❤️❣️TiffanY❣️❤️
3,8725724281430051	 ,🌹🆎.NS💞Kiara_07💞🌹             ,30438,7318349397965323	 ,🌹🆎.NS💞Aki_Star07💞🌹
4,3634927210	       ,🔴SIMRAN🌍MARS🔴                  ,6137 ,10696049123054397	,sk28914
5,8162774327860592	 ,🔥☪️Bell🇯🇵⭐️⭐️⭐️⭐️⭐️            ,24548,8162774327860592	 ,🔥☪️Bell🇯🇵⭐️⭐️⭐️⭐️⭐️
6,1125899913584186	 ,🅾️ne🆗🌹ARRIANA618✨🎸            ,10634,1125899913584186	 ,🅾️ne🆗🌹ARRIANA618✨🎸
7,10414574140926801	,✮͜͡𝄞⑅⃝💕𝙈𝙐𝙎𝙄𝙆𝘼𝓳𝓪𝓬𝓺𝓾𝓮™,35992,10414574140926801	,✮͜͡𝄞⑅⃝💕𝙈𝙐𝙎𝙄𝙆𝘼𝓳𝓪𝓬𝓺𝓾𝓮™
8,562949957110818	  ,🇸🇪Emma_Karlsson🇷🇺             ,63858,562949957110818	  ,🇸🇪Emma_Karlsson🇷🇺
9,8162774331169327	 ,🔥💳DragonwingBoss🐲🐲            ,21161,1125899913224505	 ,🐲🔥🌸J🌟O🌟YDragonQueen🐲
