,送礼人ID,送礼人名字,送礼金额
0,7599824373925708,🎌ホオジロザメ🎌🦈,57460
1,2814749773472536,🌸🌺younagi🇯🇵🌺🌸,25674
2,8725724282597170,拓海(タックン)😎ᒢᴬᴾᴬᴺ☀︎🇯🇵,5125
3,1688849866373438,TOORU🌈⭐💠,2565
4,12947848933891563,レイラReira,1949
5,10414574145124964,⚔️Capt.みお†Mio†🇨🇵🇯🇵⚔️,960
6,10977524094243342,MIYUKI🇯🇵star🌟JAPAN,872
7,12103424003457907,愛花💖aika🍒🎌,719
8,12103424003406094,HIDE612,571
9,12384898976896366,🇯🇵yuske🇯🇵,526
10,11540474051739109,ゆきちStarM,353
11,12384898979819903,大817　vellfire,262
12,7318349396880117,ユカニャン😻💕✨♪,223
13,11540474051538952,🥁なおなお🎌,209
14,11540474045942820,ほほおい(𝖧𝖮𝖧𝖮𝖨)꧁꧂,202
15,3096224750443848,仲哮价奄美アイランド学期,128
16,12947848933830287,GandarahHaydee😜💋🇵🇭,127
17,12103424005113865,夏目玲子,126
18,10696049120987923,small✨Knight🇯🇵,118
19,12384898981771087,マクラ,107
20,7881299354656502,よっくん(*´ー｀*),92
21,10414574144142366,yukiyo♪,89
22,7036874424444428,🦄🌈かなぽよ🌈🦄,75
23,12103424005096546,62165642863,73
24,11540474051944480,もけらー,69
25,12103424005364784,ベリー・ザ・スケルトン,68
26,12947848935303635,Nori369,66
27,7881299354431094,ネコ🐱にゃん,65
28,8162774330607848,🧡咲（　🌼さき）,57
29,2814749773876653,"🥀𓈒𓂃𝐑𝐢𝐧𝐚🌺𝐬𝐚𝐥𝐢𝐦♡ꕀᐝ,",53
30,8725724285274630,ちゃちゃ_1221,47
31,4222124657665780,しんいち🎌THE-PHENIX,40
32,8162774329262810,🥀𓈒𓂃Luffyくん.光之家族😂♡ꕀᐝ,40
33,12103424002441362,濱田将緒266,33
34,12666373953896750,✨🎼LAKI🎼✨🍡🍵✨,33
35,10696049119343542,🐤日和マイキー🐤,32
36,12666373954402411,siosi02,30
37,10977524096932479,kiyohito333🇯🇵,30
38,12947848933586231,🎶🎧🎤NAMI🎤🎧🎶,30
39,7036874424383089,koaraaaa__,30
40,1970324836980738,Lilliyᴰᴹᴺᴰ💎,30
41,0,,30
42,2814749774258599,大大吉,28
43,11821949022026457,タイチン🐾ฅ^•ﻌ•^ฅﾆｬｰ,28
44,12947848935398055,_star828のの,26
45,7318349400007883,yuuta..n,26
46,12103424004592732,Meguたろー,23
47,8162774331834211,pkjh4526,23
48,11540474052076442,ひなたhina,23
49,10977524092662885,マクちゃん(*´ω｀*)元くるみちゃん,23
50,2814749773906841,🔥Ⓜ️𝑱𝒘𝑱🎵💖osang😉,23
51,2251799820670872,ジュン,20
52,7599824374374967,シェイ2121,20
53,1970324844202522,大野道尾🎾,20
54,3940649677616186,Kenjinikei(｡♡‿♡｡),20
55,3377699723350715,armen.アーメン,20
56,12103424004501120,はなげ,20
57,1125899913357748,天野　翔【かける】,18
58,11540474052185864,カヨ_star185,18
59,3096224748581274,桜蘭🇯🇵SAKURA,16
60,12103424003390589,🎶HP🎶JUANA🎶🎧❤️,16
61,8444249308559305,⭐️🇯🇵KOKORONASHI🇯🇵⭐️,15
62,11540474052321418,6894,15
63,10133099169858883,SW-F🪀💫💕Koyuki💕💫,13
64,1970324840327551,＼(^イタチ^)／,13
65,10414574140195204,romasweetlove,13
66,12384898982022710,ToshIかもね🇯🇵,13
67,2533274794010781,🎶〜〜3世〜〜🎶,13
68,12103424005234601,チコ,13
69,12947848935070685,やえはる,13
70,10414574141599606,Arakono(｡♡‿♡｡),13
71,12103424000356990,トシキャット(ΦωΦ)にゃん,13
72,1125899910061467,🌈🇵🇭PAJi☪️PNAY.JP🇯🇵,13
73,12947848932265363,⛑️nori広瀬川,12
74,10977524096897799,✨ℍ𝕚𝕥𝕠𝕣𝕚~𝒅𝒆𝒔𝒖™,10
75,1688849867126846,Sai_gì_star116,10
76,4222124657367902,🐾🐶L🅰️V💖Lℹ️ne🐶🐾,10
77,12666373957035295,♨️S-H♨️Hery_Star_90,10
78,12666373953111242,(°ー°〃)莫莫(°ー°〃),10
79,10696049123140888,JoeShimane,10
80,12384898980866086,Yuki0308,10
81,1688849865536331,🗿Masa_kun,10
82,844424935975652,MICHIROU,10
83,12947848932731775,まんじゅう😎さん,10
84,1125899908635447,🙏🏽💦melodygirl💦🙏🏽,10
85,3659174703960839,唯賀濱夫〜主夫業専念中〜,9
86,10414574143402585,☆_star317ミィナ{サブっ子},9
87,11821949024762025,⠀⠀⠀⠀⠀ㅤ⠀⠀⠀⠀⠀⠀ㅤ,5
88,3096224750961043,チリりん,5
89,12384898979680160,❤️MAHAL.KO❤️,3
90,10133099164658438,Pashira,3
91,2251799819396543,Lifkyくん,3
92,1688849864771760,🌎🇯🇵💚💚GILYN💚💚🇯🇵🌎,3
93,2814749772740286,shigeki613k,3
94,10414574140485257,yuri🇯🇵❤️⭐️⭐️⭐️⭐️⭐️,3
95,10414574145132157,キョウスケ・ナンブ,3
96,12947848931459820,☆𓃠COCO𓃠☆,3
97,10977524096250210,:☀️Jun☀️:,3
98,12103424003774566,ISR〆kazu🐼🐾💎,3
99,11540474048939226,LorenaBalbin,3
100,8725724280693603,💚みどりん💚Comeback,3
101,2814749773914193,🌈✨KATSU😉✨,3
102,12103424004034778,こたつねこ,3
103,10133099168948048,angel🇹🇼蔡潔TW🇹🇼🇯🇵🇮🇩,3
104,12103424003295117,💥E💢P💥💫Mirai...💥💫,3
